,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
181,182,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.23B,45.00,62.15,0.06%,120469,182,2.47%,-0.70%,-4.98%,-16.01%,6.71%,-6.72%,2.30%,2.39%,3.30,149.96K,0.80,62.15,0.06%,120469
182,183,FCFS,"FirstCash, Inc.",Financial,Credit Services,USA,3.21B,29.64,79.20,-0.38%,112992,183,1.60%,3.61%,9.95%,34.51%,35.55%,13.08%,2.30%,2.49%,2.70,188.56K,0.60,79.20,-0.38%,112992
183,184,AWR,American States Water Company,Utilities,Utilities - Regulated Water,USA,3.21B,35.79,88.32,0.08%,422463,184,2.06%,11.01%,11.53%,14.32%,12.75%,11.08%,1.52%,1.72%,2.20,192.52K,2.19,88.32,0.08%,422463
184,185,DORM,"Dorman Products, Inc.",Consumer Cyclical,Auto Parts,USA,3.20B,27.97,101.15,-0.15%,75087,185,-3.59%,-2.43%,1.99%,11.36%,22.15%,16.51%,2.44%,2.36%,2.70,96.40K,0.78,101.15,-0.15%,75087
185,186,FHI,"Federated Hermes, Inc.",Financial,Asset Management,USA,3.17B,9.60,32.44,-2.05%,889924,186,0.37%,-4.34%,12.64%,20.15%,37.62%,12.29%,2.49%,2.51%,2.80,873.44K,1.02,32.44,-2.05%,889924
186,187,CSOD,"Cornerstone OnDemand, Inc.",Technology,Software - Application,USA,3.17B,-,47.94,-0.29%,315314,187,-2.00%,-7.06%,8.30%,17.21%,34.14%,8.86%,2.24%,2.07%,2.70,384.36K,0.82,47.94,-0.29%,315314
187,188,ITGR,Integer Holdings Corporation,Healthcare,Medical Devices,USA,3.15B,47.91,97.89,-1.78%,183980,188,6.48%,3.92%,4.27%,32.64%,43.43%,20.57%,4.11%,2.97%,1.50,140.95K,1.31,97.89,-1.78%,183980
188,189,CWT,California Water Service Group,Utilities,Utilities - Regulated Water,USA,3.13B,311.84,62.68,-0.10%,446981,189,3.23%,12.86%,6.69%,14.71%,30.47%,16.01%,2.03%,2.05%,3.20,219.29K,2.04,62.68,-0.10%,446981
189,190,EVTC,"EVERTEC, Inc.",Technology,Software - Infrastructure,USA,3.12B,27.09,43.70,0.99%,287054,190,0.67%,0.11%,9.52%,25.94%,39.35%,11.14%,1.52%,1.78%,2.50,294.25K,0.98,43.70,0.99%,287054
190,191,USM,United States Cellular Corporation,Communication Services,Telecom Services,USA,3.12B,18.90,36.36,-1.14%,132141,191,-1.49%,0.14%,6.53%,16.61%,23.34%,18.48%,1.76%,2.19%,1.80,187.58K,0.70,36.36,-1.14%,132141
191,192,HAE,Haemonetics Corporation,Healthcare,Medical Instruments & Supplies,USA,3.11B,39.22,60.79,1.72%,444949,192,2.93%,-8.78%,-9.62%,-46.81%,-31.08%,-48.81%,1.75%,2.68%,1.70,929.63K,0.48,60.79,1.72%,444949
192,193,JJSF,J & J Snack Foods Corp.,Consumer Defensive,Packaged Foods,USA,3.08B,1889.43,164.38,-0.39%,80420,193,-1.36%,-5.75%,-0.14%,7.68%,34.67%,5.80%,4.22%,2.30%,2.20,79.60K,1.01,164.38,-0.39%,80420
193,194,NWE,NorthWestern Corporation,Utilities,Utilities - Diversified,USA,3.06B,18.80,61.99,-0.75%,227861,194,-1.59%,2.94%,-8.88%,13.81%,9.89%,6.31%,2.65%,2.17%,2.20,310.19K,0.73,61.99,-0.75%,227861
194,195,WERN,"Werner Enterprises, Inc.",Industrials,Trucking,USA,3.04B,16.40,45.71,-0.74%,1362748,195,2.19%,2.67%,-1.12%,16.49%,2.67%,16.55%,3.49%,2.74%,2.50,556.55K,2.45,45.71,-0.74%,1362748
195,196,SPXC,SPX Corporation,Industrials,Specialty Industrial Machinery,USA,2.99B,29.01,66.66,0.45%,115157,196,3.24%,9.14%,9.89%,28.91%,61.48%,22.22%,2.03%,2.33%,1.40,154.34K,0.75,66.66,0.45%,115157
196,197,TSEM,Tower Semiconductor Ltd.,Technology,Semiconductors,Israel,2.98B,32.38,27.85,0.69%,219296,197,3.00%,-5.37%,-1.59%,-0.43%,31.43%,7.86%,2.92%,2.86%,1.70,332.02K,0.66,27.85,0.69%,219296
